idcid;codigo;descricao;restricao_sexo
1;A000;Cólera devida a Vibrio cholerae 01, biótipo cholerae;
2;A001;Cólera devida a Vibrio cholerae 01, biótipo El Tor;
3;A009;Cólera não especificada;
4;A010;Febre tifóide;
5;A011;Febre paratifóide A;
6;A012;Febre paratifóide B;
7;A013;Febre paratifóide C;
8;A014;Febre paratifóide não especificada;
9;A020;Enterite por salmonela;
10;A021;Septicemia por salmonela;
11;A022;Infecções localizadas por salmonela;
12;A028;Outras infecções especificadas por salmonela;
13;A029;Infecção não especificada por salmonela;
14;A030;Shiguelose devida a Shigella dysenteriae;
15;A031;Shiguelose devida a Shigella flexneri;
16;A032;Shiguelose devida a Shigella boydii;
17;A033;Shiguelose devida a Shigella sonnei;
18;A038;Outras shigueloses;
19;A039;Shiguelose não especificada;
20;A040;Infecção por Escherichia coli enteropatogênica;
21;A041;Infecção por Escherichia coli enterotoxigênica;
22;A042;Infecção por Escherichia coli enteroinvasiva;
23;A043;Infecção por Escherichia coli enterohemorrágica;
24;A044;Outras infecções intestinais por Escherichia coli;
25;A045;Enterite por Campylobacter;
26;A046;Enterite devida a Yersinia enterocolítica;
27;A047;Enterocolite devida a Clostridium difficile;
28;A048;Outras infecções bacterianas intestinais especificadas;
29;A049;Infecção intestinal bacteriana não especificada;
30;A050;Intoxicação alimentar estafilocócica;
31;A051;Botulismo;
32;A052;Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii];
33;A053;Intoxicação alimentar devida a Vibrio parahemolyticus;
34;A054;Intoxicação alimentar devida a Bacillus cereus;
35;A058;Outras intoxicações alimentares bacterianas especificadas;
36;A059;Intoxicação alimentar bacteriana não especificada;
37;A060;Disenteria amebiana aguda;
38;A061;Amebíase intestinal crônica;
39;A062;Colite amebiana não-disentérica;
40;A063;Ameboma intestinal;
41;A064;Abscesso amebiano do fígado;
42;A065;Abscesso amebiano do pulmão;
43;A066;Abscesso amebiano do cérebro;
44;A067;Amebíase cutânea;
45;A068;Infecção amebiana de outras localizações;
46;A069;Amebíase não especificada;
47;A070;Balantidíase;
48;A071;Giardíase [lamblíase];
49;A072;Criptosporidiose;
50;A073;Isosporíase;
51;A078;Outras doenças intestinais especificadas por protozoários;
52;A079;Doença intestinal não especificada por protozoários;
53;A080;Enterite por rotavírus;
54;A081;Gastroenteropatia aguda pelo agente de Norwalk;
55;A082;Enterite por adenovírus;
56;A083;Outras enterites virais;
57;A084;Infecção intestinal devida a vírus não especificado;
58;A085;Outras infecções intestinais especificadas;
59;A09;Diarréia e gastroenterite de origem infecciosa presumível;
60;A150;Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura;
61;A151;Tuberculose pulmonar, com confirmação somente por cultura;
