Indicadores Municipais
Freqüência por Municípios
Período:2024
"Municípios";"Freqüência"
"260005 Abreu e Lima";1
"260010 Afogados da Ingazeira";1
"260020 Afrânio";1
"260030 Agrestina";1
"260040 Água Preta";1
"260050 Águas Belas";1
"260060 Alagoinha";1
"260070 Aliança";1
"260080 Altinho";1
"260090 Amaraji";1
"260100 Angelim";1
"260105 Araçoiaba";1
"260110 Araripina";1
"260120 Arcoverde";1
"260130 Barra de Guabiraba";1
"260140 Barreiros";1
"260150 Belém de Maria";1
"260160 Belém do São Francisco";1
"260170 Belo Jardim";1
"260180 Betânia";1
"260190 Bezerros";1
"260200 Bodocó";1
"260210 Bom Conselho";1
"260220 Bom Jardim";1
"260230 Bonito";1
"260240 Brejão";1
"260250 Brejinho";1
"260260 Brejo da Madre de Deus";1
"260270 Buenos Aires";1
"260280 Buíque";1
"260290 Cabo de Santo Agostinho";1
"260300 Cabrobó";1
"260310 Cachoeirinha";1
"260320 Caetés";1
"260330 Calçado";1
"260340 Calumbi";1
"260345 Camaragibe";1
"260350 Camocim de São Félix";1
"260360 Camutanga";1
"260370 Canhotinho";1
"260380 Capoeiras";1
"260390 Carnaíba";1
"260392 Carnaubeira da Penha";1
"260400 Carpina";1
"260410 Caruaru";1
"260415 Casinhas";1
"260420 Catende";1
"260430 Cedro";1
"260440 Chã de Alegria";1
"260450 Chã Grande";1
"260460 Condado";1
"260470 Correntes";1
"260480 Cortês";1
"260490 Cumaru";1
"260500 Cupira";1
"260510 Custódia";1
"260515 Dormentes";1
"260520 Escada";1
"260530 Exu";1
"260540 Feira Nova";1
"260550 Ferreiros";1
"260560 Flores";1
"260570 Floresta";1
"260580 Frei Miguelinho";1
"260590 Gameleira";1
"260600 Garanhuns";1
"260610 Glória do Goitá";1
"260620 Goiana";1
"260630 Granito";1
"260640 Gravatá";1
"260650 Iati";1
"260660 Ibimirim";1
"260670 Ibirajuba";1
"260680 Igarassu";1
"260690 Iguaraci";1
"260760 Ilha de Itamaracá";1
"260700 Inajá";1
"260710 Ingazeira";1
"260720 Ipojuca";1
"260730 Ipubi";1
"260740 Itacuruba";1
"260750 Itaíba";1
"260765 Itambé";1
"260770 Itapetim";1
"260775 Itapissuma";1
"260780 Itaquitinga";1
"260790 Jaboatão dos Guararapes";1
"260795 Jaqueira";1
"260800 Jataúba";1
"260805 Jatobá";1
"260810 João Alfredo";1
"260820 Joaquim Nabuco";1
"260825 Jucati";1
"260830 Jupi";1
"260840 Jurema";1
"260850 Lagoa de Itaenga";1
"260845 Lagoa do Carro";1
"260860 Lagoa do Ouro";1
"260870 Lagoa dos Gatos";1
"260875 Lagoa Grande";1
"260880 Lajedo";1
"260890 Limoeiro";1
"260900 Macaparana";1
"260910 Machados";1
"260915 Manari";1
"260920 Maraial";1
"260930 Mirandiba";1
"261430 Moreilândia";1
"260940 Moreno";1
"260950 Nazaré da Mata";1
"260960 Olinda";1
"260970 Orobó";1
"260980 Orocó";1
"260990 Ouricuri";1
"261000 Palmares";1
"261010 Palmeirina";1
"261020 Panelas";1
"261030 Paranatama";1
"261040 Parnamirim";1
"261050 Passira";1
"261060 Paudalho";1
"261070 Paulista";1
"261080 Pedra";1
"261090 Pesqueira";1
"261100 Petrolândia";1
"261110 Petrolina";1
"261120 Poção";1
"261130 Pombos";1
"261140 Primavera";1
"261150 Quipapá";1
"261153 Quixaba";1
"261160 Recife";1
"261170 Riacho das Almas";1
"261180 Ribeirão";1
"261190 Rio Formoso";1
"261200 Sairé";1
"261210 Salgadinho";1
"261220 Salgueiro";1
"261230 Saloá";1
"261240 Sanharó";1
"261245 Santa Cruz";1
"261247 Santa Cruz da Baixa Verde";1
"261250 Santa Cruz do Capibaribe";1
"261255 Santa Filomena";1
"261260 Santa Maria da Boa Vista";1
"261270 Santa Maria do Cambucá";1
"261280 Santa Terezinha";1
"261290 São Benedito do Sul";1
"261300 São Bento do Una";1
"261310 São Caitano";1
"261320 São João";1
"261330 São Joaquim do Monte";1
"261340 São José da Coroa Grande";1
"261350 São José do Belmonte";1
"261360 São José do Egito";1
"261370 São Lourenço da Mata";1
"261380 São Vicente Ferrer";1
"261390 Serra Talhada";1
"261400 Serrita";1
"261410 Sertânia";1
"261420 Sirinhaém";1
"261440 Solidão";1
"261450 Surubim";1
"261460 Tabira";1
"261470 Tacaimbó";1
"261480 Tacaratu";1
"261485 Tamandaré";1
"261500 Taquaritinga do Norte";1
"261510 Terezinha";1
"261520 Terra Nova";1
"261530 Timbaúba";1
"261540 Toritama";1
"261550 Tracunhaém";1
"261560 Trindade";1
"261570 Triunfo";1
"261580 Tupanatinga";1
"261590 Tuparetama";1
"261600 Venturosa";1
"261610 Verdejante";1
"261618 Vertente do Lério";1
"261620 Vertentes";1
"261630 Vicência";1
"261640 Vitória de Santo Antão";1
"261650 Xexéu";1
"Total";184
