codigo,municipio
260005,Abreu e Lima
260010,Afogados da Ingazeira
260020,Afrânio
260030,Agrestina
260040,Água Preta
260050,Águas Belas
260060,Alagoinha
260070,Aliança
260080,Altinho
260090,Amaraji
260100,Angelim
260105,Araçoiaba
260110,Araripina
260120,Arcoverde
260130,Barra de Guabiraba
260140,Barreiros
260150,Belém de Maria
260160,Belém do São Francisco
260170,Belo Jardim
260180,Betânia
260190,Bezerros
260200,Bodocó
260210,Bom Conselho
260220,Bom Jardim
260230,Bonito
260240,Brejão
260250,Brejinho
260260,Brejo da Madre de Deus
260270,Buenos Aires
260280,Buíque
260290,Cabo de Santo Agostinho
260300,Cabrobó
260310,Cachoeirinha
260320,Caetés
260330,Calçado
260340,Calumbi
260345,Camaragibe
260350,Camocim de São Félix
260360,Camutanga
260370,Canhotinho
260380,Capoeiras
260390,Carnaíba
260392,Carnaubeira da Penha
260400,Carpina
260410,Caruaru
260415,Casinhas
260420,Catende
260430,Cedro
260440,Chã de Alegria
260450,Chã Grande
260460,Condado
260470,Correntes
260480,Cortês
260490,Cumaru
260500,Cupira
260510,Custódia
260515,Dormentes
260520,Escada
260530,Exu
260540,Feira Nova
260545,Fernando de Noronha
260550,Ferreiros
260560,Flores
260570,Floresta
260580,Frei Miguelinho
260590,Gameleira
260600,Garanhuns
260610,Glória do Goitá
260620,Goiana
260630,Granito
260640,Gravatá
260650,Iati
260660,Ibimirim
260670,Ibirajuba
260680,Igarassu
260690,Iguaraci
260760,Ilha de Itamaracá
260700,Inajá
260710,Ingazeira
260720,Ipojuca
260730,Ipubi
260740,Itacuruba
260750,Itaíba
260765,Itambé
260770,Itapetim
260775,Itapissuma
260780,Itaquitinga
260790,Jaboatão dos Guararapes
260795,Jaqueira
260800,Jataúba
260805,Jatobá
260810,João Alfredo
260820,Joaquim Nabuco
260825,Jucati
260830,Jupi
260840,Jurema
260850,Lagoa de Itaenga
260845,Lagoa do Carro
260860,Lagoa do Ouro
260870,Lagoa dos Gatos
260875,Lagoa Grande
260880,Lajedo
260890,Limoeiro
260900,Macaparana
260910,Machados
260915,Manari
260920,Maraial
260930,Mirandiba
261430,Moreilândia
260940,Moreno
260950,Nazaré da Mata
260960,Olinda
260970,Orobó
260980,Orocó
260990,Ouricuri
261000,Palmares
261010,Palmeirina
261020,Panelas
261030,Paranatama
261040,Parnamirim
261050,Passira
261060,Paudalho
261070,Paulista
261080,Pedra
261090,Pesqueira
261100,Petrolândia
261110,Petrolina
261120,Poção
261130,Pombos
261140,Primavera
261150,Quipapá
261153,Quixaba
261160,Recife
261170,Riacho das Almas
261180,Ribeirão
261190,Rio Formoso
261200,Sairé
261210,Salgadinho
261220,Salgueiro
261230,Saloá
261240,Sanharó
261245,Santa Cruz
261247,Santa Cruz da Baixa Verde
261250,Santa Cruz do Capibaribe
261255,Santa Filomena
261260,Santa Maria da Boa Vista
261270,Santa Maria do Cambucá
261280,Santa Terezinha
261290,São Benedito do Sul
261300,São Bento do Una
261310,São Caitano
261320,São João
261330,São Joaquim do Monte
261340,São José da Coroa Grande
261350,São José do Belmonte
261360,São José do Egito
261370,São Lourenço da Mata
261380,São Vicente Ferrer
261390,Serra Talhada
261400,Serrita
261410,Sertânia
261420,Sirinhaém
261440,Solidão
261450,Surubim
261460,Tabira
261470,Tacaimbó
261480,Tacaratu
261485,Tamandaré
261500,Taquaritinga do Norte
261510,Terezinha
261520,Terra Nova
261530,Timbaúba
261540,Toritama
261550,Tracunhaém
261560,Trindade
261570,Triunfo
261580,Tupanatinga
261590,Tuparetama
261600,Venturosa
261610,Verdejante
261618,Vertente do Lério
261620,Vertentes
261630,Vicência
261640,Vitória de Santo Antão
261650,Xexéu
