id;codproc;nome;sexo;idade_min;idade_max;vlr_sa;vlr_sh;vlr_sp;qtde_maxima;ptos_ato;dias_permanencia;complexidade;co_financiamento;co_rubrica;classeprimariaid;classesecundariaid
1;0202030202;DOSAGEM DE PROTEINA C REATIVA                                                                                                                                                                                                                             ;I;0;130;2,83;0;0;9999;0;9999;2;06;      ;30;2
2;0204010055;RADIOGRAFIA DE ARTICULACAO TEMPORO-MANDIBULAR BILATERAL                                                                                                                                                                                                   ;I;0;130;8,38;0;0;9999;0;9999;2;06;      ;30;2
3;0211080055;ESPIROMETRIA OU PROVA DE FUNCAO PULMONAR COMPLETA COM BRONCODILATADOR                                                                                                                                                                                     ;I;0;130;6,36;0;0;9999;0;9999;2;06;      ;30;2
4;0303050110;TRATAMENTO OFTALMOLÓGICO DE PACIENTE COM GLAUCOMA COM DISPENSAÇÃO DE PILOCARPINA BINOCULAR                                                                                                                                                                ;I;0;130;13,39;0;0;1;0;9999;2;06;      ;31;1
5;0305010174;TRATAMENTO DE INTERCORRENCIA EM PACIENTE RENAL CRONICO SOB TRATAMENTO DIALITICO ( POR DIA)                                                                                                                                                                ;I;0;130;0;69,43;11,34;30;80;9999;2;06;      ;31;1
6;0405030053;INJECAO INTRA-VITREO                                                                                                                                                                                                                                      ;I;0;130;82,28;0;0;2;0;9999;2;06;      ;32;4
7;0407030026;COLECISTECTOMIA                                                                                                                                                                                                                                           ;I;2;130;0;447,16;248,61;1;200;3;2;06;      ;32;4
8;0408050543;TRATAMENTO CIRÚRGICO DE FRATURA DO PILÃO TIBIAL                                                                                                                                                                                                           ;I;0;130;0;263,01;202,95;2;300;4;2;06;      ;32;4
9;0413010023;ATENDIMENTO DE URGÊNCIA EM PEQUENO QUEIMADO                                                                                                                                                                                                               ;I;0;130;0;0;0;9999;0;9999;1;01;      ;32;4
10;0506010015;ACOMPANHAMENTO DE PACIENTE POS-TRANSPLANTE DE CORNEA                                                                                                                                                                                                      ;I;0;130;115;0;0;1;0;9999;2;04;040032;;
11;0701030119;APARELHO DE AMPLIFICAÇÃO SONORA INDIVIDUAL (AASI) EXTERNO MICROCANAL TIPO C                                                                                                                                                                               ;N;9999;9999;1100;0;0;2;0;9999;0;06;      ;30;14
12;0701030224;REPOSIÇÃO DE AASI EXTERNO INTRA-CANAL TIPO B                                                                                                                                                                                                              ;N;9999;9999;700;0;0;2;0;9999;0;06;      ;30;14
13;0701070021;APARELHO ORTOPÉDICO E ORTODÔNTICO REMOVÍVEL                                                                                                                                                                                                               ;I;5;130;60;0;0;2;0;9999;0;06;      ;30;14
14;0701070145;PROTESES CORONARIAS / INTRA-RADICULARES FIXAS / ADESIVAS (POR ELEMENTO)                                                                                                                                                                                   ;N;9999;9999;150;0;0;32;0;9999;0;06;      ;30;14
15;0701080019;APARELHO ORTODONTICO EM ANOMALIAS CRANIO-FACIAIS                                                                                                                                                                                                          ;I;0;0;0;0;0;1;0;9999;0;06;      ;30;14
16;0701080094;PRÓTESE REMOVÍVEL EM PACIENTES COM ANOMALIAS CRÂNIO E BUCOMAXILOFACIAL                                                                                                                                                                                    ;I;15;130;200;0;0;2;0;9999;0;06;      ;30;14
17;0701090065;SUBSTITUIÇÃO DE PÉ DE ADAPTAÇÃO DINÂMICA.                                                                                                                                                                                                                 ;N;9999;9999;266;0;0;1;0;9999;0;06;      ;30;14
18;0701100028;MALHA COMPRESSIVA P/ TRATAMENTO SEQUENCIAL DE QUEIMADOS (MEIA ATE VIRILHA OU JOELHO)                                                                                                                                                                      ;N;9999;9999;26;0;0;3;0;9999;0;06;      ;30;14
19;0702010162;INTRODUTOR 6FA 8F                                                                                                                                                                                                                                         ;I;9999;9999;0;74;0;1;0;9999;0;06;      ;30;14
20;0702030058;ARRUELAS DE TITANIO PARA CIRURGIA DA COLUNA                                                                                                                                                                                                               ;I;9999;9999;0;86,81;0;1;0;9999;0;06;      ;30;14
21;0702030104;COMPONENTE ACETABULAR METÁLICO DE FIXAÇÃO BIOLÓGICA PRIMÁRIA / REVISÃO                                                                                                                                                                                    ;I;9999;9999;0;1027,28;0;1;0;9999;0;06;      ;30;14
22;0702030180;COMPONENTE FEMORAL DE REVISAO CIMENTADO / FIXACAO BIOLOGICA                                                                                                                                                                                               ;I;9999;9999;0;1758,84;0;1;0;9999;0;06;      ;30;14
23;0702030260;COMPONENTE TIBIAL DE REVISAO METALICO CIMENTADO / FIXACAO BIOLOGICA EM CUNHA                                                                                                                                                                              ;I;9999;9999;0;1316,68;0;1;0;9999;0;06;      ;30;14
24;0701030194;REPOSIÇÃO DE AASI EXTERNO INTRA-AURICULAR TIPO B                                                                                                                                                                                                          ;N;9999;9999;700;0;0;2;0;9999;0;06;      ;30;14
25;0701030267;REPOSIÇÃO DE AASI EXTERNO MICRO-CANAL TIPO C                                                                                                                                                                                                              ;N;9999;9999;1100;0;0;2;0;9999;0;06;      ;30;14
26;0701050047;CONJUNTO DE PLACA E BOLSA PARA OSTOMA INTESTINAL                                                                                                                                                                                                          ;N;9999;9999;18;0;0;10;0;9999;0;06;      ;30;14
27;0701070072;PLACA OCLUSAL                                                                                                                                                                                                                                             ;I;12;130;23,54;0;0;2;0;9999;0;06;      ;30;14
28;0701080060;PRÓTESE LABIAL                                                                                                                                                                                                                                            ;N;9999;9999;61,19;0;0;1;0;9999;0;06;      ;30;14
29;0701090022;SUBSTITUICAO DE ESPUMA E MEIA COSMETICA EM PROTESE ENDOESQUELETICA TRANSFEMURAL                                                                                                                                                                           ;N;9999;9999;250,2;0;0;1;0;9999;0;06;      ;30;14
30;0701090090;SUBSTITUIÇÃO/TROCA DO ENCAIXE PARA PRÓTESE TRANSFEMURAL ENDOESQUELETICA / EXOESQUELETICA.                                                                                                                                                                 ;N;9999;9999;1098;0;0;2;0;9999;0;06;      ;30;14
31;0702010154;GERADOR P/ ESTIMULACAO CEREBRAL                                                                                                                                                                                                                           ;I;9999;9999;0;11500;0;1;0;9999;0;06;      ;30;14
32;0702010200;SHUNT LOMBO-PERITONAL                                                                                                                                                                                                                                     ;I;9999;9999;0;567,7;0;1;0;9999;0;06;      ;30;14
33;0702030090;COMPONENTE ACETABULAR DE POLIETILENO CIMENTADO PRIMARIO / REVISAO                                                                                                                                                                                         ;I;9999;9999;0;282,87;0;1;0;9999;0;06;      ;30;14
34;0702030155;COMPONENTE DE AUMENTO FEMURAL P/ REVISÃO DE PRÓTESE TOTAL DE JOELHO                                                                                                                                                                                       ;I;9999;9999;0;2122,37;0;4;0;9999;0;06;      ;30;14
35;0702030414;FIXADOR EXTERNO P/ PUNHO                                                                                                                                                                                                                                  ;I;9999;9999;0;561,66;0;1;0;9999;0;06;      ;30;14
36;0702030538;HASTE INTRAMEDULAR BLOQUEADA DE UMERO (INCLUI PARAFUSOS)                                                                                                                                                                                                  ;I;9999;9999;0;1010,56;0;1;0;9999;0;06;      ;30;14
37;0702030597;COMPONENTE ACETABULAR DE POLIETILENO P/ COMPONENTE METALICO PRIMARIO / DE REVISAO DE FIXACAO BIOLOGICA                                                                                                                                                    ;I;9999;9999;0;372,78;0;2;0;9999;0;06;      ;30;14
38;0702030627;PARAFUSO CANULADO 3,5 MM                                                                                                                                                                                                                                  ;I;9999;9999;0;116,02;0;6;0;9999;0;06;      ;30;14
39;0702030813;PLACA C/ PARAFUSO DESLIZANTE DE 135 OU 150 GRAUS                                                                                                                                                                                                          ;I;9999;9999;0;764,34;0;1;0;9999;0;06;      ;30;14
40;0702030910;PLACA DE COMPRESSAO DINAMICA 4,5 MM LARGA (INCLUI PARAFUSOS)                                                                                                                                                                                              ;I;9999;9999;0;296,13;0;2;0;9999;0;06;      ;30;14
41;0702030970;PLACA EM L 4,5 MM (INCLUI PARAFUSOS)                                                                                                                                                                                                                      ;I;9999;9999;0;288,71;0;2;0;9999;0;06;      ;30;14
42;0702030996;PLACA EM T 3,5 MM (INCLUI PARAFUSOS)                                                                                                                                                                                                                      ;I;9999;9999;0;275,48;0;1;0;9999;0;06;      ;30;14
